Company name,Website,City / Location,Segment,What they make,Revenue band (estimate),Decision-maker,E1: Producer,E2: Accessible,C3: Differentiated,C4: Decision-Maker Quality,C5: Growing Sector,C6: Growth Signals,C7: Systems Maturity,C8: Leadership Succession,Overall Federer Score,Overall verdict,Personalization hook
Sneh Engineering,snehengineering.in,"MIDC Bhosari, Pune",Precision auto components & engineering (Basket C),"Custom CNC turned spacers, industrial sleeves, pins, and custom automotive alignment bushes.",<Rs.30Cr,Local operator-promoter managing direct job-work configurations.,"PASS — Running an active, physical workshop block equipped with individual turning lathe setups.",PASS — Workshop and management operations situated entirely inside Pune.,Weak (0) — Focuses mostly on standard high-volume low-margin turned turning parts; lacks complex 5-axis or proprietary custom tooling.,Weak (0) — Traditional transactional mindset oriented toward low-cost local job-work; no systems engineering profile.,"Moderate (8) — Standard automotive downstream machining, though heavily vulnerable to basic price shifts.",Weak (0) — Stable local operations over 12 years but showing limited visual or structural scaling indicators.,Weak (0) — Dependent heavily on physical record books and simple verbal supervisor check-ins without a clear software ERP grid.,Weak (0) — Small family enterprise strictly managed on a daily basis by the core founding mechanic-promoter.,8/100 — Band D (Not ICP),Do Not Include — Disqualified. Acts primarily as a basic commercial job shop without high-tech moats or structural enterprise systems (C7=0). Move to Fail List.,N/A (Disqualified company)
Indo Schottle Auto Parts Private Limited,indoschottle.com,"Ghorpadi / Sanaswadi, Pune",Precision auto components & engineering (Basket C),"High-precision engine valve collets, rocker arm parts, turbocharger components, and specialized fuel system assemblies.",Rs.300-500Cr,Soumitra Bhattacharya (Chairman) / Senior Management corporate board.,"PASS — Owns massive, high-tech manufacturing plants with advanced cold forming and multi-spindle automatics.",PASS — Operational presence and heavy production bases fully established across Pune.,Strong (20) — India’s largest manufacturer of valve collets with advanced steel cold-forming precision capabilities that act as a massive supply barrier.,Strong (15) — Managed by highly educated corporate engineers and structured global systems thinkers.,Strong (15) — Direct beneficiary of high-efficiency turbocharger adoption and complex engine localization.,"Strong (15) — Continual multi-plant scaling, aggressive technology transitions, and large-scale manufacturing capacity additions.","Strong (20) — Global enterprise-level SAP integration, deep IATF 16949 quality standard operations, and automated production analytics dashboard grids.",Strong (15) — Highly professionalized corporate management structure completely separated from individual family dependency.,100/100 — Band A,Strong Fit — Sitting perfectly at the upper limit of the target revenue band; an elite precision operator with world-class process ecosystems.,"""Phenomenal work on scaling to become India's dominant producer of precision valve collets through deep multi-spindle asset automation."""
Nexa Engineering Solutions,nexaengineering.co.in,"Katraj, Pune",Precision auto components & engineering (Basket C),"High-precision CNC precision components, transmission shafts, customized industrial flanges, and engineering couplings.",<Rs.30Cr,Technical operator panel with dedicated localized engineering project backgrounds.,PASS — Operates an active machining shop floor with precision VMC mill setups and micro-precision tooling assets.,"PASS — Operations, design office, and physical assembly plant lines are based out of Katraj, Pune.",Strong (20) — Achieves incredibly tight tolerances up to 2 microns across complex defense and automotive components using LMW-branded platforms.,Moderate (8) — Promoters emphasize highly engineered toolpaths and precise tolerance documentation for custom part requests.,Strong (15) — Backed by solid tailwinds in localized defense subsystem machining and custom high-torque auto components.,Moderate (8) — Maintained 24-hour manufacturing facility cycles over recent phases to fulfill complex defense parts batches.,"Strong (20) — Runs stringent 2-micron ISO-compliant validation systems, precise CAM toolpath verification modules, and structured batch tracking.",Weak (0) — Heavily dependent on the core technical supervisors and founding partners.,71/100 — Band B,Good Target — Exceptional technical depth with verified 2-micron tolerance capabilities that make them highly relevant for structured optimization.,Excellent engineering discipline on managing round-the-clock facility operations to hit 2-micron precision parameters on complex defense shafts
Gurukrupa Enterprises,gurukrupaenterprisespune.com,Pune,Precision auto & aerospace components (Basket C),"High-integrity aerospace landing gear parts, engine sub-components, and critical military defense weaponry brackets.",Rs.30-100Cr,Technical promoter-engineer with an established background in custom metallurgical tooling layouts.,PASS — Fully owns structural CNC machining setups built specifically to process tight-tolerance defense hardware.,PASS — Base manufacturing hub and engineering offices based directly within Pune's industrial footprint.,"Strong (20) — Specializes in cross-industry precision manufacturing spanning medical instrumentation, defense weapons systems, and extreme-environment aerospace parts.",Strong (15) — Founder has explicitly driven the engineering floor away from basic automotive commercial lines into high-spec regulatory defense tiers.,Strong (15) — Direct beneficiary of the massive Indian defense localization push and aerospace sub-component indigenization programs.,"Strong (15) — Rapidly updating their machinery catalogs across industrial automation, robotics integration components, and multi-axis setups.",Strong (20) — Strict adherence to ISO quality frameworks and advanced tool engineering blueprints ensuring strict part geometry replication.,Moderate (8) — Diversified operational profile with distinct managers assigned to distinct technical segments (Aerospace vs Medical).,93/100 — Band A,Strong Fit — An outstanding operator-led asset focused on complex defense-aerospace niches that require deep engineering discipline.,Outstanding execution on driving CNC machining operations across demanding defense-weaponry components and specialized aerospace landing gear configurations
Tamboli Engineers Private Limited,tatanexarc.com/company/tamboli-engineers-private-utn6528tam83xvd/,"Dhayari, Pune",Precision auto & aerospace components (Basket C),"Massive CNC machined sub-assemblies, heavy aerospace/satellite structural parts, special purpose marine shafts, and large jigs & fixtures.",Rs.100-300Cr,"Nazir Bashir Tamboli (Managing Director), a pioneer in heavy specialized precision machining setups.","PASS — Fully operates state-of-the-art heavy machining, rigorous component testing, and specialized clean assembly floors.",PASS — Heavy industry physical plant asset based out of Pune-Sinhgad Road.,Strong (20) — Exceptional capability-based moat. Specializes in handling massive machinery parts (like defense equipment and aerospace satellite blocks) that standard light-component workshops cannot machine.,Strong (15) — Founder built a globally-trained workforce backed by multi-layered mechanical design teams to systematically engineer custom layouts.,"Strong (15) — Enormous tailwinds across maritime, heavy defense sub-assembly indigenization, and global deep-space satellite builds.",Strong (15) — Active industrial scaling footprints and consistent technical capacity upgrades for global maritime supply chains.,"Strong (20) — Enforces rigid high-spec defense inspection matrices, multi-stage tolerance validation, and structural project flow monitoring.",Strong (15) — Highly professionalized operations team with globally-trained senior technical managers handling specific divisional portfolios.,100/100 — Band A,"Strong Fit — An elite, heavy-duty ""Federer"" archetype with heavy machinery moats, exceptional legacy stability, and distinct system tiers.","""Incredible 35+ year legacy scaling your heavy-machining footprint to deliver specialized satellite elements and critical defense infrastructure right out of Pune."""
Precision Engineering Works,pewpune.com,"Bhosari, Pune",Precision auto components & engineering (Basket C),"Niche turned components, worm shafts, hydraulic sub-parts, machine hubs, and two-wheeler brake actuation hardware.",Rs.30-100Cr,First-generation engineering entrepreneurs with over 15 years of industry precision expertise.,PASS — Operates a dedicated precision factory unit housing advanced CNC/VMC shop lines.,"PASS — Setup firmly situated within the core industrial town loop of Bhosari, Pune.","Strong (20) — Capability-based moat includes complex structural cost-saving and high-reliability scaling models using diverse material blocks (Bright bars, forging, tubes).",Strong (15) — Promoters are first-generation operator archetypes who successfully scaled to become highly trusted suppliers to elite global tier-1s like Brembo and Valeo.,Strong (15) — Riding major tailwinds from localized automotive transmission components and advanced hydraulic power system upgrades.,Moderate (8) — Active capacity upgrades and consistent scaling of active inventory to manage critical global vendor demands.,"Strong (20) — Deploys a rigid, comprehensive Quality Management System alongside an integrated in-house instrument calibration facility to lock in component precision.","Moderate (8) — Professionalized layer evident via separate dedicated quality control divisions, floor supervisors, and international business heads.",91/100 — Band A,"Strong Fit — Deep operational focus, great systems infrastructure (in-house calibration), and established validation relationships with international brands.",Exceptional work on building an in-house instrument calibration facility in Bhosari to maintain Tier-1 status for heavy hitters like Brembo and Valeo.
C-Tech Engineers,ctechengg.com,Pune,Precision auto & aerospace components (Basket C),"Soft big machined bushes, critical assemblies with close dimensional control, ductile iron casting assemblies, and aerospace parts.",Rs.30-100Cr,Technical management panel overseeing specialized earthmoving and aerospace component engineering pipelines.,"PASS — Operates a complete manufacturing workshop specializing in multi-stage turning, milling, and custom sub-assemblies.",PASS — Physical manufacturing facility and engineering office based entirely in Pune.,"Strong (20) — Specializes in complex, ready-to-use sub-assemblies requiring extreme dimensional control and induction-hardened finishes for high-wear environments.",Moderate (8) — Promoters are process-oriented engineers focusing heavily on tight tolerance execution based directly on user CAD blueprints.,"Strong (15) — Driven by heavy infrastructure pushes in India's railways, advanced earthmoving equipment, and defense tooling setups.",Strong (15) — Rapid expansion of their engineering capabilities to include high-grade alloy components for heavy-performance machinery lines.,"Strong (20) — Operates via automated case-hardening depth controls, rigorous multi-axis geometric inspection charts, and formal request-for-quote tracking.",Moderate (8) — Clear division between heavy casting assembly teams and specialized precision aerospace engineering groups.,86/100 — Band A,"Strong Fit — A highly structured operator that excels at delivering complex, ready-to-use structural assemblies instead of simple raw parts.",Great engineering control on executing ready-to-use critical assemblies that incorporate specialized induction-hardened materials for heavy railways and earthmovers.
Ultra Engineers,ultraengineers.com,"Chakan Industrial Area, Phase IV, Pune",Precision auto & aerospace components (Basket C),"High-precision aerospace sub-components, technical commercial vehicle drivetrain elements, and custom critical fixtures.",Rs.100-300Cr,Senior engineer-promoter management board operating out of Chakan Industrial Area.,PASS — Runs a top-tier manufacturing facility inside the highly competitive Chakan Phase IV industrial grid,PASS — Heavy physical factory setup and core headquarters operating entirely within Pune.,Strong (20) — Utilizes advanced automated machining blocks and multi-axis horizontal setups to manufacture complex aerospace geometries with strict quality certifications.,"Strong (15) — The leadership demonstrates intense operator focus, investing consistently in plant infrastructure, digital process layouts, and modern workflow structures.",Strong (15) — Direct beneficiary of the commercial vehicle capacity boom and India's aggressive aerospace component indigenization tailwinds.,"Strong (15) — Expanded setup verified by their prominent, scaled facility presence inside Chakan’s premium Phase IV manufacturing ecosystem.","Strong (20) — Complete enterprise resource planning (ERP) system execution, highly synchronized quality checking loops, and structured daily production matrix lines.",Strong (15) — Multi-tier engineering leadership depth with clear division of authority over separate production blocks and global sales cycles.,100/100 — Band A,Strong Fit — A model Federer company operating in a prime location with perfect systems maturity and high-level technical focus.,"Outstanding operational scale at your Chakan Phase IV plant, specifically your capability to maintain high-end multi-axis production loops for critical aerospace systems."
Ironflame Technologies,justdial.com listing verified,"MIDC Bhosari, Pune",Precision auto components & engineering (Basket C),"Commercial automotive stampings, generic brackets, and standard local job-work sheet metal parts.",<Rs.30Cr,Local shop floor proprietor managing basic transactional trade orders.,PASS — Runs a small physical workshop block with standard stamping and manual press machines.,"PASS — Located inside the General Block layout of MIDC Bhosari, Pune.",Weak (0) — Produces standard mass-commodity sheet items and basic brackets without any engineering IP or specialized tool moats.,Weak (0) — Focuses on traditional high-volume generic job contracts; no systems layout or digital management profile.,"Moderate (8) — Low-tier automotive downstream stamping, which faces severe margin squeezes.",Weak (0) — Stagnant digital footprint with no active independent website or visible structural expansion plans over the past 24 months.,Weak (0) — No ERP or software infrastructure; entirely dependent on direct founder intuition and manual logbooks.,Weak (0) — Solo-owner running daily shop floor operations on a purely tactical basis.,8/100 — Band D (Not ICP),Do Not Include — Disqualified. Falls short across all technical differentiation and operational metrics. No system infrastructure exists to scale (C7=0). Move to Fail List.,N/A (Disqualified company)
Aresson Gears,indiamart.com/aressongears/,"Pimpri-Chinchwad, Pune",Precision auto components & engineering (Basket C),"High-precision industrial spur gears, helical gears, planetary gears, and customized power transmission gearboxes.",<Rs.30Cr,Operator-promoter overseeing engineering workflows at their Pimpri shop floor.,PASS — Operates a physical gear-cutting and tooth-grinding workshop in Pune.,PASS — Manufacturing plant and central tracking are located in the Pimpri industrial hub.,"Strong (20) — Specializes in profile-ground teeth modifications to eliminate backlash and noise in ""can't-fail"" transmission environments.",Moderate (8) — Promoter acts as a core engineering supervisor focused directly on custom modular calibrations.,"Strong (15) — Gaining heavy tailwinds from India’s automation, material handling, and custom robotics push.",Moderate (8) — Active product catalog expansion into niche heavy-torque ground gears over the last 18 months.,"Strong (20) — Enforces tight tolerance monitoring grids, specialized geometric pitch testing, and robust blueprint calibrations.",Weak (0) — Concentrated heavily around the direct technical insight of the founding operator.,71/100 — Band B,Good Target — Highly precise capability-based ground gear moat making them excellent candidates for systematic operational optimization.,Great work on implementing precise profile-ground teeth configurations to minimize backlash and vibrations in custom industrial gear setups.
Yash Laser Tek,yashlasertek.com,Pune,Precision auto components & engineering (Basket C),"Heavy undercarriage base frames, acoustic enclosures, precision fuel/coolant tanks, and automotive stamping/press parts.",Rs.30-100Cr,Family-driven engineering board with strong operational background across the Pune manufacturing grid.,PASS — Owns massive physical production plants running advanced sheet metal fabrication and robotic laser lines.,PASS — Fully operational and centralized manufacturing plant based inside Pune.,"Strong (20) — Capability-based moat includes advanced, leak-proof welding for heavy undercarriage base frames and complex electronic component cabins.",Strong (15) — Management focuses deeply on engineering-to-specification configurations and multi-industry custom design setups.,Strong (15) — Positioned optimally to capture heavy machinery expansion and localized sheet metal stamping demands.,Strong (15) — Active infrastructure maintenance and scaling catalogs across both automotive and heavy electronic enclosures.,"Strong (20) — Implements clear, multi-stage quality control checks, leak-testing for fuel systems, and structured CAD layout planning.",Moderate (8) — Multi-director structure with distribution of industrial operations vs. commercial accounts.,93/100 — Band A,"Strong Fit — A resilient, highly capable operator-led enterprise managing high-spec fabrication with strong process systems.",Incredible work on scaling Yash Laser Tek over 25 years to master high-integrity undercarriage base frame and leak-proof fuel tank fabrication.
Aura Laserfab Private Limited,auralaserfab.com,Pune,Precision auto & aerospace components (Basket C),"Complex high-precision laser cut-bend elements, heavy specialized metal stampings, and ready-to-install custom structural sub-assemblies.",Rs.100-300Cr,Promoter-led corporate technical panel handling advanced metal fabrication workflows.,"PASS — Runs highly integrated, heavy metal fabrication and advanced multi-axis CNC laser cutting setups.",PASS — Core manufacturing plants and logistics hubs established directly inside Pune's engineering zones.,Strong (20) — Over 30 years of deep institutional domain expertise specializing in high-tolerance structural cut-bend geometries.,"Strong (15) — Promoters emphasize heavy automation investment, design validation frameworks, and rigid workflow structures.",Strong (15) — Direct beneficiary of high-end localized automotive metal framing and aerospace defense structural pushes.,Strong (15) — Continual enhancement of active fiber laser technology setups and structural component catalogs.,Strong (20) — Full ISO-compliant quality systems tracking sheet parameters from initial intake to final clean assembly dispatch.,Strong (15) — Deep professional engineering management layers separating daily workshop tracking from central commercial strategy.,100/100 — Band A,"Strong Fit — Outstanding target with zero operational gaps, strong corporate professional layers, and high technology moats.",Phenomenal execution on combining advanced fiber laser cutting with precise multi-axis bending to ship ready-to-install structural assemblies.
